system:index,Dynamic world LULC,EVI,Elevation in m,Gross primary productivity in kg C per square m per 16 days,Land surface temperature in °C,Leaf area index,Methane ppb,Monthly precipitation in mm,NDVI,.geo
96,Built,0.28,43,0.0,27.89,1.69,1865.47,34.42,0.46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.42532192116625,52.45712101615946]}"
97,Built,0.28,45,0.0,27.89,1.69,1865.5,34.42,0.46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.434305074007444,52.45712101615946]}"
98,Built,0.32,46,0.0,27.89,1.69,1866.63,34.42,0.51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.44328822684864,52.45712101615946]}"
99,Built,0.29,45,0.0,27.89,1.69,1863.57,36.97,0.45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.452271379689835,52.45712101615946]}"
100,Built,0.33,35,0.0,27.89,1.69,1863.57,36.97,0.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.461254532531031,52.45712101615946]}"
101,Built,0.34,35,0.0,27.89,1.69,1867.01,36.97,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.470237685372226,52.45712101615946]}"
102,Built,0.44,35,0.0,27.89,1.69,1867.01,36.97,0.7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.47922083821342,52.45712101615946]}"
103,Trees,0.51,39,0.0,27.89,1.69,1867.33,36.97,0.79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.488203991054617,52.45712101615946]}"
104,Trees,0.47,40,0.0,27.89,1.69,1867.66,36.97,0.78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.497187143895811,52.45712101615946]}"
105,Built,0.3,37,0.0,28.47,1.38,1867.84,36.97,0.52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.506170296737006,52.45712101615946]}"
106,Built,0.19,38,0.0,28.47,1.38,1867.84,36.97,0.34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.515153449578202,52.45712101615946]}"
107,Built,0.19,38,0.0,28.47,1.38,1870.2,36.97,0.36,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.524136602419397,52.45712101615946]}"
108,Built,0.19,37,0.0,28.47,1.38,1872.45,36.97,0.39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.533119755260591,52.45712101615946]}"
109,Built,0.29,38,0.0,28.47,1.38,0.0,36.97,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.542102908101787,52.45712101615946]}"
110,Trees,0.33,38,0.0,28.47,1.38,0.0,39.44,0.59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.551086060942982,52.45712101615946]}"
111,Trees,0.41,38,0.0,28.47,1.38,0.0,39.44,0.68,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.560069213784178,52.45712101615946]}"
112,Built,0.41,38,0.0,28.47,1.38,0.0,39.44,0.63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.569052366625373,52.45712101615946]}"
113,Built,0.29,40,0.0,28.47,1.38,0.0,39.44,0.52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.578035519466567,52.45712101615946]}"
114,Built,0.32,37,0.0,25.51,2.41,0.0,39.44,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.587018672307764,52.45712101615946]}"
115,Built,0.41,38,0.0,25.51,2.41,0.0,39.44,0.67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.596001825148958,52.45712101615946]}"
116,Trees,0.46,40,0.0,25.51,2.41,0.0,39.44,0.71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.604984977990153,52.45712101615946]}"
117,Trees,0.48,57,496.18,20.5,4.0,1863.64,34.3,0.83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.263625170024735,52.46610416900066]}"
118,Trees,0.47,58,493.91,20.5,4.0,1863.92,34.3,0.83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.272608322865931,52.46610416900066]}"
119,Built,0.42,56,0.0,20.5,4.0,1864.1,34.3,0.74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.281591475707126,52.46610416900066]}"
120,Built,0.37,56,0.0,20.5,4.0,1864.63,34.3,0.63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.29057462854832,52.46610416900066]}"
121,Built,0.35,57,0.0,25.03,1.39,1864.63,34.3,0.56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.299557781389517,52.46610416900066]}"
122,Built,0.34,54,0.0,25.03,1.39,1865.79,34.3,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.308540934230711,52.46610416900066]}"
123,Built,0.27,54,0.0,25.03,1.39,1867.0,34.3,0.45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.317524087071908,52.46610416900066]}"
124,Built,0.22,52,0.0,25.03,1.39,1867.14,34.3,0.39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.326507239913102,52.46610416900066]}"
125,Built,0.21,52,0.0,28.76,1.09,1867.52,34.3,0.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.335490392754297,52.46610416900066]}"
126,Built,0.32,53,0.0,28.76,1.09,1867.52,34.3,0.54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.344473545595493,52.46610416900066]}"
127,Built,0.41,48,0.0,28.76,1.09,1866.38,34.42,0.64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.353456698436688,52.46610416900066]}"
128,Built,0.33,46,0.0,28.76,1.09,1866.37,34.42,0.48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.362439851277882,52.46610416900066]}"
129,Built,0.26,48,0.0,28.76,1.09,1865.97,34.42,0.42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.371423004119078,52.46610416900066]}"
130,Built,0.29,49,0.0,28.76,1.09,1865.13,34.42,0.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.380406156960273,52.46610416900066]}"
131,Built,0.27,49,0.0,28.76,1.09,1865.13,34.42,0.48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.38938930980147,52.46610416900066]}"
132,Built,0.25,48,0.0,28.76,1.09,1865.41,34.42,0.41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.398372462642664,52.46610416900066]}"
133,Built,0.26,49,0.0,28.76,1.09,1864.93,34.42,0.44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.407355615483858,52.46610416900066]}"
134,Built,0.29,50,0.0,28.76,1.09,1865.03,34.42,0.45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.416338768325055,52.46610416900066]}"
135,Built,0.29,52,0.0,28.17,1.11,1865.25,34.42,0.48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.42532192116625,52.46610416900066]}"
136,Built,0.25,51,0.0,28.17,1.11,1865.23,34.42,0.42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.434305074007444,52.46610416900066]}"
137,Built,0.19,45,0.0,28.17,1.11,1867.21,34.42,0.34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.44328822684864,52.46610416900066]}"
138,Built,0.17,38,0.0,28.17,1.11,1864.04,36.97,0.31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.452271379689835,52.46610416900066]}"
139,Built,0.19,36,0.0,26.38,1.89,1862.67,36.97,0.33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.461254532531031,52.46610416900066]}"
140,Built,0.31,37,0.0,26.38,1.89,1862.66,36.97,0.54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.470237685372226,52.46610416900066]}"
